"","X.Citation.","X.Rating.","X.Personne.","X.Date.","X.Platform.","X.Author.","X.Href.","X.Tags."
"1","Citation","Rating","Personne","Date","Platform","Author","Href","Tags"
"2","Citation","Rating","Personne","Date","Platform","Author","Href","Tags"
"3","
The number of people in the U.S. illegally is “upwards of 20, 25, maybe 30 million.”
","false","
Marco Rubio
","May 19, 2024","interview","
By Maria Ramirez Uribe • June 11, 2024
","/factchecks/2024/jun/11/marco-rubio/there-arent-20-million-to-30-million-immigrants-in/","Immigration, Border Security, Florida, Marco Rubio"
"4","
Kansas City Chiefs said they refuse to participate in Pride Month because ‘it’s extremely woke.’
","false","
Facebook posts
","June 8, 2024","post","
By Jeff Cercone • June 10, 2024
","/factchecks/2024/jun/10/facebook-posts/kansas-city-chiefs-didnt-issue-statement-about-not/","LGBTQ, Sports, Facebook Fact-checks, Missouri, Facebook posts"
"5","
Says Sen. Lindsey Graham said a newly elected Donald Trump “will round up and deport LEGAL immigrants.”
","false","
Eric Swalwell
","June 9, 2024","X","
By Louis Jacobson • June 10, 2024
","/factchecks/2024/jun/10/eric-swalwell/eric-swalwell-misquotes-lindsey-graham-on-donald-t/","Immigration, Ask PolitiFact, Eric Swalwell"
"6","
HarperCollins “removed 64,575 words from the Bible.”
","false","
Facebook posts
","May 29, 2024","post","
By Ciara O'Rourke • June 10, 2024
","/factchecks/2024/jun/10/facebook-posts/the-word-of-god-wasnt-removed-from-this-bible-but/","Religion, Facebook Fact-checks, Facebook posts"
"7","
""La ivermectina cura el cáncer”.
","false","
Facebook posts
","May 24, 2024","Facebook","
By Maria Briceño • June 10, 2024
","/factchecks/2024/jun/10/facebook-posts/no-hay-evidencia-cientifica-que-confirme-que-la-iv/","Public Health, PolitiFact en Español, Facebook posts"
"8","
""The last administration oversaw the largest increase in murders ever recorded.""
","half-true","
Joe Biden
","May 24, 2024","email","
By Louis Jacobson • June 10, 2024
","/factchecks/2024/jun/10/joe-biden/did-donald-trump-oversee-the-biggest-one-year-rise/","Crime, Joe Biden"
"9","
Audio of President Joe Biden’s interview with Special Counsel Robert Hur leaked.
","false","
TikTok posts
","June 5, 2024","video","
By Jeff Cercone • June 7, 2024
","/factchecks/2024/jun/07/tiktok-posts/joe-biden-robert-hur-interview-audio-wasnt-leaked/","National, Congress, Legal Issues, TikTok posts"
"10","
Photo shows actor Chris Evans signing a bomb amid the assault on Gaza.
","false","
Viral image
","June 1, 2024","post","
By Ciara O'Rourke • June 7, 2024
","/factchecks/2024/jun/07/viral-image/old-photo-of-actor-chris-evans-signing-a-model-art/","Israel, Facebook Fact-checks, Viral image"
"11","
“Wage increases have exceeded” the cost of inflation.
","half-true","
Joe Biden
","June 4, 2024","magazine","
By Louis Jacobson • June 6, 2024
","/factchecks/2024/jun/06/joe-biden/have-wages-exceeded-inflation-under-joe-biden/","Economy, Workers, Joe Biden"
"12","
“James Woods leaves Hollywood to join Mel Gibson’s new non-woke film studio.”
","false","
Facebook posts
","June 2, 2024","post","
By Ciara O'Rourke • June 6, 2024
","/factchecks/2024/jun/06/facebook-posts/another-actor-supposedly-joins-a-non-woke-film-stu/","Facebook Fact-checks, Facebook posts"
